course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,profit,year,month,clean_course_title
* An Integrated Approach to the Fundamentals of Accounting,1,200,134,14,123,0,5.5,26800,2016,3, Integrated Approach Fundamentals Accounting
Get to grips with the CFA calculator,1,20,153,8,14,0,1.5,3060,2013,8,grips CFA calculator
Financial Model Fundamentals-Learn the Essential Skills,1,75,47,5,27,0,2.5,3525,2015,6,Financial Model FundamentalsLearn Essential Skills
Forex: Economic News Trading,1,25,42,14,11,0,0.6833333333333333,1050,2016,2,Forex Economic News Trading
Analyze Real Estate Investments | Financial Modeling,1,20,120,18,21,0,2.0,2400,2015,7,Analyze Real Estate Investments  Financial Modeling
Forex For Beginners - A Guide To Currency Trading,1,20,68,10,23,1,0.5,1360,2015,5,Forex Beginners  Guide Currency Trading
Raise Your Credit Score to 800 Or More....,1,50,844,33,40,0,2.0,42200,2015,7,Raise Credit Score 800 More
Financial Management Budgeting Techniques,1,20,2045,3,10,0,2.0,40900,2015,4,Financial Management Budgeting Techniques
Forex Killing Divergence - How to trade with precision,1,20,1168,38,11,0,0.6833333333333333,23360,2015,1,Forex Killing Divergence  trade precision
Working Capital Management for CA / CFA / CPA Exams,1,25,2342,9,33,2,3.5,58550,2014,10,Working Capital Management  CFA  CPA Exams
Risk Analysis - Capital Budgeting for CA / CS / CFA exams,1,20,2268,4,47,0,5.5,45360,2015,7,Risk Analysis  Capital Budgeting  CS  CFA exams
Corporate Finance 101: Financial Statement Analysis & Ratios,1,50,967,16,43,0,8.0,48350,2016,3,Corporate Finance 101 Financial Statement Analysis  Ratios
Mastering Futures Options for Beginners - Your Top 5 Plays!,1,200,1185,10,33,1,2.5,237000,2016,2,Mastering Futures Options Beginners  5 Plays
"Professional Options Trading, Simplified",1,200,631,49,21,0,2.0,126200,2015,4,Professional Options Trading Simplified
"Advanced Options Concepts - Probability, Greeks, Simulation",1,60,968,81,10,2,2.0,58080,2013,2,Advanced Options Concepts  Probability Greeks Simulation
Accounting Basics - A Complete Study,1,180,1132,70,332,0,29.0,203760,2015,5,Accounting Basics  Complete Study
Case Studies in Macro Economics,1,50,114,1,22,1,4.0,5700,2017,5,Case Studies Macro Economics
My Forex Strategy that win consistently over and over,1,200,204,23,9,2,1.5,40800,2016,10,Forex Strategy win consistently
Understand Banks & Financial Markets ,1,30,1548,24,34,0,3.0,46440,2013,12,Understand Banks  Financial Markets
Stock Technical Analysis with Python,1,50,409,35,46,0,8.0,20450,2016,4,Stock Technical Analysis Python
How to Become an Accountant from scratch!,1,40,1169,7,15,1,3.0,46760,2015,8,Accountant scratch
How to invest in Gold,1,50,249,14,39,1,2.5,12450,2016,6,invest Gold
Automate Your Finances,1,20,690,17,21,1,1.0,13800,2014,5,Automate Finances
MBA Accounting and Finance for Managers(Paper MS04 of IGNOU),1,150,1340,4,272,0,26.0,201000,2015,7,MBA Accounting Finance ManagersPaper MS04 IGNOU
Accounting Made Easy: A Quick Guide to Financial Accounting,1,95,274,41,18,0,1.5,26030,2015,10,Accounting Easy Quick Guide Financial Accounting
Futures/Commodity Training (Basics),0,0,4863,202,6,1,1.5,0,2015,2,FuturesCommodity Training Basics
Cost Accounting Marginal Costing Theory and Practice,1,20,1923,4,31,0,2.5,38460,2015,3,Cost Accounting Marginal Costing Theory Practice
The Big Volatility Short: The Best Trade On Wall Street!,1,200,224,35,16,0,1.5,44800,2016,4,Big Volatility Short Best Trade Wall Street
Master Finance in Three Hours,1,20,721,12,29,1,3.0,14420,2014,10,Master Finance Hours
Learn Options on Futures for Hedging Options and Stocks,1,60,51,2,6,3,0.7,3060,2017,5,Learn Options Futures Hedging Options Stocks
Option selling trading as income source. Beginners friendly,1,195,1276,46,61,0,6.0,248820,2015,4,Option selling trading income source Beginners friendly
Introduction to Value Growth Investing,0,0,2768,83,10,0,1.0,0,2016,12,Introduction Value Growth Investing
Become A Forex Trader - Forex trading like a professional,0,0,1735,31,19,0,2.5,0,2017,5,Forex Trader  Forex trading like professional
Hedge Fund Trading System,0,0,8985,584,12,0,1.0,0,2015,3,Hedge Fund Trading System
Bulletproof Personal Finance: Expert Asset Allocation,1,45,1119,22,18,0,1.0,50355,2016,2,Bulletproof Personal Finance Expert Asset Allocation
Financial Accounting: The Complete Introductory Crash Course,1,100,2591,44,69,0,10.0,259100,2015,1,Financial Accounting Complete Introductory Crash Course
Learn About Trading Options from a real wallstreet trader,1,20,1046,17,12,0,1.0,20920,2016,2,Learn Trading Options real wallstreet trader
Forex Rate -Why it fluctuates -for CA / CMA / CS / CFA Exams,1,20,2239,4,7,0,1.0,44780,2015,9,Forex Rate Why fluctuates for  CMA  CS  CFA Exams
